,timestamp,altitude,longitude,latitude,speed,accuracy
1020,1557312286000,39.0,127.35988859999999,36.3729373,0.69,20.14
1021,1557312309000,60.0,127.3598169,36.3730598,0.71999997,65.0
1022,1557312314000,129.0,127.3594317,36.372889,1.13,34.951
1023,1557312321000,92.0,127.35949939999999,36.3728847,1.26,13.379000000000001
1024,1557312328000,88.0,127.35952820000001,36.3728387,1.8499999,8.058
1025,1557312333000,87.0,127.3595497,36.3727928,1.56,6.524
1026,1557312337000,86.0,127.35956259999999,36.372747499999996,1.8199999,5.876
1027,1557312341000,82.0,127.35957450000001,36.372693,1.53,5.428999999999999
1028,1557312345000,81.0,127.35957890000002,36.3726418,1.79,5.4910000000000005
1029,1557312348000,81.0,127.35956609999998,36.372595200000006,1.4699999,5.528
1030,1557312352000,81.0,127.35955919999999,36.37254420000001,1.6899998999999999,5.511
1031,1557312355000,81.0,127.3595551,36.3724973,1.5899999,5.425
1032,1557312359000,80.0,127.3595476,36.3724403,1.39,5.593999999999999
1033,1557312362000,81.0,127.3595506,36.3723945,1.7199999,5.575
1034,1557312366000,81.0,127.3595499,36.3723441,1.4499999,5.281000000000001
1035,1557312370000,81.0,127.35954840000002,36.37228629999999,1.81,5.415
1036,1557312373000,81.0,127.35955039999999,36.372239,1.3399999,5.444
1037,1557312377000,80.0,127.3595509,36.3721831,1.68,5.04
1038,1557312381000,81.0,127.3595595,36.372122499999996,1.4599999,4.871
1039,1557312385000,80.0,127.3595538,36.372068799999994,1.28,4.993
1040,1557312389000,80.0,127.359531,36.3720235,1.15,4.946000000000001
1041,1557312393000,78.0,127.359467,36.372010700000004,0.37,4.886
1042,1557312396000,78.0,127.3594097,36.372019200000004,0.77,3.968
1043,1557312399000,78.0,127.35934920000001,36.3720254,0.59,3.5810000000000004
1044,1557312404000,80.0,127.35928940000001,36.372027100000004,0.65,3.577
1045,1557312413000,82.0,127.3592731,36.3719833,0.84,6.224
1055,1557316831367,84.0,127.35950159999999,36.3720507,2.09,23.0
1056,1557316834000,93.0,127.3595733,36.3720053,3.54,14.027000000000001
1057,1557316835000,84.0,127.35959390000001,36.371961799999994,3.81,10.284
1058,1557316835460,81.0,127.35956770000001,36.3719143,3.76,7.3629999999999995
1059,1557316838000,80.0,127.3595578,36.3718619,3.84,7.499
1061,1557316840521,75.0,127.35955259999999,36.3717245,3.57,7.212000000000001
1260,1557317064000,74.0,127.3595821,36.363308,3.85,4.612
1261,1557317066000,74.0,127.35953719999999,36.36327670000001,3.4099998,4.697
1262,1557317068000,74.0,127.35948909999998,36.3632411,2.36,4.564
1263,1557317070000,74.0,127.35943940000001,36.3631994,2.83,4.152
1264,1557317072000,74.0,127.3593774,36.363156700000005,3.6599998,4.113
1265,1557317074000,74.0,127.3593148,36.363116399999996,3.61,4.893
1268,1557317080000,75.0,127.35906940000001,36.36296420000001,3.6799998,7.399
1278,1557317097000,74.0,127.3583898,36.3625724,3.6399998999999994,5.934
1279,1557317099000,74.0,127.35833000000001,36.3625422,3.6899998,5.865
1280,1557317101000,74.0,127.35827590000001,36.362508,3.47,5.426
1281,1557317103000,74.0,127.35822309999999,36.3624678,3.4399998,5.516
1282,1557317105000,74.0,127.3581653,36.3624299,3.32,5.816
1283,1557317107000,74.0,127.3581186,36.3624041,2.7,6.438
1284,1557317109000,74.0,127.35805649999999,36.3623748,3.0,6.596
1285,1557317111000,74.0,127.3579937,36.3623411,3.1699998,6.662000000000001
1286,1557317113000,74.0,127.35792690000001,36.3623044,2.78,5.902
1287,1557317115000,74.0,127.35787079999999,36.3622802,2.18,5.715
1288,1557317118000,74.0,127.3578055,36.362250599999996,1.8,5.675
1289,1557317124000,74.0,127.35776709999999,36.3622143,1.1,5.744
1290,1557317129000,74.0,127.3577166,36.3621727,1.11,6.452999999999999
1291,1557317133000,74.0,127.35766170000001,36.3621586,0.85999995,5.715
1292,1557317167000,74.0,127.3576979,36.3621185,2.54,5.357
1293,1557317169000,74.0,127.35774409999999,36.3620789,2.6399999,5.318
1294,1557317171000,75.0,127.3577703,36.362038,2.62,5.237
1295,1557317173000,76.0,127.35779740000001,36.361990999999996,2.8999999,5.2589999999999995
1296,1557317175000,75.0,127.3578277,36.361938,3.1399999,5.25
1297,1557317177000,75.0,127.3578697,36.361892600000004,3.28,5.365
1298,1557317179000,75.0,127.35791509999999,36.3618454,3.1899998,5.136
1299,1557317181000,74.0,127.35796670000002,36.361776899999995,3.47,4.978
1302,1557317187000,74.0,127.3581381,36.3615749,3.76,4.8
1303,1557317189000,75.0,127.35817040000002,36.3615315,3.33,4.955
1304,1557317191000,75.0,127.3582078,36.3614843,3.03,4.9
1305,1557317193000,74.0,127.3582457,36.3614407,2.52,4.747
1306,1557317195000,75.0,127.3582827,36.361399299999995,2.3999999,4.652
1307,1557317197000,74.0,127.35831540000001,36.3613613,2.6399999,5.053
1308,1557317199000,75.0,127.35834979999998,36.361317,2.27,4.638999999999999
1309,1557317202000,74.0,127.3583886,36.3612658,1.26,4.828
1310,1557317205000,73.0,127.35841620000001,36.361225700000006,0.75,4.343
1311,1557317218000,74.0,127.3584264,36.3611761,2.48,4.699
1312,1557317221000,73.0,127.3583646,36.3611523,2.19,4.5489999999999995
1313,1557317224000,74.0,127.358314,36.3611079,2.44,5.14
1314,1557317227000,73.0,127.3582567,36.361063,2.45,5.222
1315,1557317229000,72.0,127.3582041,36.3610446,2.58,4.6739999999999995
1328,1557317248000,70.0,127.3571895,36.3609023,3.9399998,3.819
1329,1557317250000,70.0,127.3571199,36.360886,3.59,3.4330000000000003
1331,1557317254000,70.0,127.3569611,36.360845899999994,3.03,3.638
1332,1557317256000,70.0,127.3569044,36.3608329,3.01,3.554
1333,1557317258000,69.0,127.3568457,36.360820200000006,2.6,3.417
1334,1557317260000,69.0,127.3567892,36.3608077,2.77,3.3939999999999997
1335,1557317262000,69.0,127.35672450000001,36.3607919,2.96,3.483
1336,1557317264000,69.0,127.3566531,36.360777899999995,3.34,3.5789999999999997
1337,1557317266000,69.0,127.35657720000002,36.360759200000004,3.6399998999999994,3.6489999999999996
1338,1557317268000,69.0,127.3564966,36.3607375,3.84,3.6710000000000003
1340,1557317272000,68.0,127.35631219999999,36.3606939,3.86,3.728
1341,1557317274000,68.0,127.3562418,36.3606757,3.6,3.6489999999999996
1342,1557317276000,68.0,127.35617350000001,36.3606591,3.46,3.4160000000000004
1343,1557317278000,68.0,127.35609679999999,36.3606411,3.34,3.622
1344,1557317280000,68.0,127.3560316,36.360624,3.01,3.562
1345,1557317283000,68.0,127.3559478,36.3606059,2.83,3.34
1346,1557317286000,68.0,127.3558707,36.3605851,2.31,3.281
1347,1557317289000,68.0,127.35580279999999,36.3605636,1.92,3.227
1348,1557317292000,68.0,127.35574640000002,36.3605481,1.43,3.05
1349,1557317296000,67.0,127.35568810000001,36.3605339,1.3299999,3.2310000000000003
1350,1557317299000,67.0,127.35562730000001,36.36052,1.8399999,3.1239999999999997
1351,1557317302000,67.0,127.35556580000001,36.3605028,2.11,3.221
1352,1557317305000,68.0,127.3555012,36.360477200000005,2.1599998,3.28
1353,1557317308000,67.0,127.35543490000002,36.360456899999996,2.07,3.2889999999999997
1354,1557317311000,67.0,127.3553578,36.3604334,2.58,3.432
1355,1557317313000,68.0,127.35530130000001,36.3604128,2.4299998,3.4530000000000003
1356,1557317316000,68.0,127.3552344,36.3603915,2.23,3.878
1357,1557317318000,68.0,127.3551775,36.360372,2.1699998,3.3539999999999996
1358,1557317321000,69.0,127.35510390000002,36.36035089999999,2.61,3.44
1359,1557317324000,69.0,127.3550283,36.3603245,2.1699998,3.305
1360,1557317326000,69.0,127.35497759999998,36.360301799999995,2.74,3.469
1361,1557317328000,69.0,127.3549196,36.3602711,3.03,3.572
1362,1557317330000,69.0,127.3548638,36.3602407,2.73,3.45
1363,1557317332000,70.0,127.35480919999999,36.360219,2.48,3.36
1364,1557317334000,70.0,127.35475819999999,36.3601976,2.28,3.281
1365,1557317337000,71.0,127.3546896,36.36017329999999,2.3999999,3.2489999999999997
1366,1557317340000,70.0,127.35461200000002,36.3601461,2.6499999,3.385
1367,1557317342000,71.0,127.35455619999999,36.360121299999996,2.6599998,3.262
1368,1557317344000,71.0,127.354496,36.360096,2.69,3.0
1369,1557317346000,71.0,127.3544428,36.36007670000001,2.72,3.41
1370,1557317348000,72.0,127.3543831,36.360057399999995,2.7,3.487
1371,1557317350000,72.0,127.35432549999999,36.3600389,2.83,3.4810000000000003
1372,1557317352000,72.0,127.35427340000001,36.3600133,2.84,3.47
1373,1557317354000,72.0,127.3542158,36.3599886,2.9199998,3.5260000000000002
1374,1557317356000,72.0,127.3541588,36.3599722,2.82,3.491
1375,1557317358000,72.0,127.35410139999999,36.35995870000001,2.53,3.397
1376,1557317360000,72.0,127.3540483,36.3599417,2.32,3.1460000000000004
1377,1557317363000,72.0,127.3539801,36.3599186,1.99,3.302
1378,1557317366000,73.0,127.3539188,36.3598995,2.0,3.1839999999999997
1379,1557317369000,72.0,127.3538614,36.359883,2.12,3.483
1380,1557317372000,72.0,127.35380190000001,36.3598718,2.22,4.5760000000000005
1381,1557317376000,71.0,127.3537311,36.3598578,2.5,7.635
1397,1557317422000,71.0,127.3514905,36.359142600000006,3.8,4.949
1398,1557317424000,71.0,127.3514228,36.3591361,3.1499999,5.312
